Total_Time_hours,Total_Distance_km,Avg_Speed_kmh,Max_Speed_kmh,Elevation_Gain_m,Elevation_Loss_m,Elevation_Gain_per_km,Total_Fuel_Liters,Fuel_L_per_100km,Weight_kg,Num_Points,VehId,Trip
0.04666666666666667,0.4867059657073046,34.3348623853211,67.0,7.354473876953136,10.875012207031205,15.110712411887658,0.157289575739196,32.31716617868351,1587.572,218,2,685.0
0.12372222222222222,1.1153860150758566,33.26132404181185,71.0,29.641076660156386,75.87738952636735,26.574725036462393,0.28750413658641266,25.776200588892962,1587.572,574,2,694.0
0.09308333333333334,1.3857489690645761,34.42479674796748,67.0,56.14586181640624,30.95863647460942,40.51661813921929,0.37132340413747944,26.795863639583605,1587.572,492,2,714.0
0.18608333333333332,1.3486868874890916,96.84331797235023,127.0,106.45740966796865,110.52808837890626,78.9341178115589,1.4200687591369137,105.29269412418746,1587.572,868,2,760.0
0.07886111111111112,0.8871472491025443,31.73103448275862,62.0,16.879241943359602,17.99407958984392,19.026426515367067,0.30239180007787025,34.08586346672165,1587.572,435,2,785.0
0.10633333333333334,0.641786715450859,71.6477495107632,118.0,41.29981384277346,67.02619323730474,64.3513068259135,0.5934200205430161,92.46374321196957,1587.572,511,2,795.0
0.3393333333333333,3.7975493844476658,28.941873589164786,74.0,92.73705749511723,116.53591613769532,24.420237397019488,0.9704183688145598,25.55380511412894,1587.572,1772,2,829.0
0.09052777777777778,1.4644596437660349,40.31395348837209,64.0,67.488671875,23.42119750976559,46.084350744855435,0.36775069004423283,25.11169847593188,1587.572,430,2,975.0
0.11944444444444445,1.302489160727887,30.36541889483066,64.0,66.50011596679698,37.519677734375165,51.05617610639758,0.4142597908503627,31.805239025471543,1587.572,561,2,1028.0
0.11880555555555555,1.0335676885652336,30.73083778966132,71.0,62.25754699707042,37.421151733398546,60.23557787830462,0.38907749675656983,37.64412346294176,1587.572,561,2,1049.0
0.05241666666666667,0.6323366655226969,43.53531598513011,66.0,58.018511962890585,21.047564697265614,91.75256651444023,0.2528968548397628,39.99402037373799,1587.572,269,2,1075.0
0.16283333333333333,1.7932474715044417,28.662352941176472,76.0,73.28666381835939,52.267742919921886,40.868126113612014,0.8350714273412766,46.567550804390365,2041.164,850,7,1189.0
0.10830555555555556,1.6669273544003802,35.99309153713299,70.0,43.42360839843778,73.1576477050784,26.05009047563319,0.3936968197913252,23.618115015752686,2041.164,579,7,1328.0
0.03730555555555556,0.7109462091391654,51.08029197080292,69.0,30.22262573242176,2.2289581298827557,42.510425323198795,0.11142443477463458,15.672695534807138,1133.98,137,8,706.0
0.06652777777777778,0.7204685966075643,43.15412186379928,76.0,48.19528198242182,29.687332153320312,66.89435488147105,0.22882386327857512,31.760421530657545,1133.98,279,8,707.0
0.11538888888888889,1.080663185003667,43.94188376753507,80.0,74.33145141601568,83.32336425781256,68.78318096471793,0.3771405598809866,34.89899212951414,1133.98,499,8,708.0
0.10772222222222222,1.2906232933155664,42.77606177606177,72.0,65.57673339843774,81.19486694335956,50.81012696584252,0.3141626216007326,24.341930230753835,1133.98,518,8,730.0
0.09755555555555556,1.3760626887710585,48.122370936902485,78.0,60.27896728515634,76.61166992187509,43.80539329860808,0.316661152277154,23.01211673430078,1133.98,523,8,734.0
0.1309722222222222,1.437662529728693,40.1609022556391,77.0,75.19916381835932,83.55988159179682,52.30654779084384,0.3940014694669822,27.405699273621316,1133.98,665,8,743.0
0.13827777777777778,1.1246667127458254,30.322169059011163,76.0,27.890676879882932,38.962011718750034,24.79905963588897,0.3276026848024738,29.128868231784498,1133.98,627,8,746.0
0.04988888888888889,0.6535398262749788,49.70168067226891,71.0,45.45245361328111,33.77607727050761,69.54810064498939,0.15734555965013028,24.07589458579173,1133.98,238,8,755.0
0.029611111111111112,0.5180553028014727,46.434108527131784,75.0,21.72351074218747,0.0,41.93280258828327,0.08076833961288547,15.590679059960753,1133.98,129,8,771.0
0.10691666666666666,0.9803227908069171,42.463510848126234,74.0,65.18688354492198,81.4379516601563,66.49532598468487,0.3181369727204486,32.45226732498851,1133.98,507,8,786.0
0.028527777777777777,0.18337616017362668,28.456521739130434,62.0,8.594345092773438,4.345550537109432,46.867297715450164,0.06603502484886589,36.0106923311851,1133.98,138,8,789.0
0.0665,0.7172761744876635,50.808176100628934,68.0,24.405316162109386,32.92689208984376,34.02499208835653,0.186253354724295,25.966756090474103,1133.98,318,8,802.0
0.11077777777777778,0.8358453588345605,43.901669758812616,74.0,72.42524719238318,86.5408172607425,86.64909893543881,0.31499374899747795,37.685649105796486,1133.98,539,8,805.0
0.14002777777777778,2.522817243368883,30.34575569358178,71.0,77.48351135253901,47.1734680175781,30.713089327497304,0.44282533704878446,17.552810779803092,1133.98,483,8,811.0
0.11202777777777778,1.3634952841371761,42.01714285714286,70.0,63.84925842285156,79.6558685302735,46.82763421749241,0.2823975901498837,20.71129936680241,1133.98,525,8,838.0
0.09094444444444444,1.0192358110513031,54.97757847533632,74.0,66.95342407226579,59.658166503906386,65.68982697262753,0.265579333654232,26.056711388534996,1133.98,446,8,840.0
0.172,1.9154286266720832,26.30666666666667,57.0,29.07365112304697,62.50460510253916,15.178665870500383,0.32492581324049385,16.963608495557917,1133.98,825,8,854.0
0.23358333333333334,2.9963879317664994,17.904721030042918,32.0,76.47008972167987,74.97976379394555,25.520757479689042,0.38622697222691527,12.889751962097174,1133.98,1165,8,855.0
0.10775,1.375982487978616,41.773622047244096,69.0,64.40532531738268,62.7654632568358,46.80679142363009,0.2941917636855317,21.380487488450047,1133.98,508,8,878.0
0.09358333333333334,0.9729018783386487,41.01327433628319,74.0,17.729406738281114,26.419531249999864,18.223221820227426,0.20271612396349684,20.83623523367638,1133.98,452,8,891.0
0.05425,0.237761883397517,23.427419354838708,53.0,9.348220825195398,31.41122436523449,39.31757559964308,0.08517595163311951,35.824056579629634,1133.98,248,8,893.0
0.08513888888888889,1.186219144985066,51.04950495049505,74.0,44.83928527832023,26.43724670410154,37.8001699499503,0.24818146784400297,20.92205887025432,1133.98,404,8,894.0
0.12555555555555556,1.3537257232663098,39.01890034364261,71.0,46.7255554199219,24.221893310546903,34.51626471807087,0.34355607625866436,25.378558621884057,1133.98,582,8,896.0
0.058472222222222224,0.2346533611323843,29.57831325301205,74.0,21.076696777343784,14.904394531250034,89.82056202234816,0.1446250238868289,61.633476370805475,1133.98,249,8,897.0
0.15255555555555556,1.717148690511162,38.965421853388655,73.0,40.88722534179678,58.237384033203085,23.811115232907085,0.4243661507325971,24.713418999624984,1133.98,723,8,898.0
0.10413888888888889,1.2025832203108167,47.11940298507463,71.0,69.59536132812502,82.88555297851562,57.87155529256227,0.41506425944466313,34.51438972659095,1133.98,536,8,902.0
0.15108333333333332,1.6777242810938757,37.80523255813954,74.0,79.90491027832019,78.12390441894519,47.62696181891235,0.45724949579634455,27.254150216996205,1133.98,688,8,906.0
0.3666111111111111,3.4011369399839073,34.504054897067995,74.0,156.38360900878936,156.58404846191436,45.979803744547056,0.851456057854533,25.034453857025873,1133.98,1603,8,907.0
0.12427777777777778,1.2615867943396661,42.072072072072075,70.0,56.604617309570585,67.97117919921902,44.867794719742854,0.3005649007360277,23.824353749148745,1133.98,555,8,909.0
0.09502777777777778,0.7931119796301709,32.70058708414873,70.0,30.521582031250063,37.25926818847657,38.48331990330333,0.28128957624790174,35.466565059207326,1133.98,511,8,925.0
0.10522222222222222,1.0925338266309403,39.008080808080805,69.0,69.69774475097677,57.06546630859387,63.79458745538757,0.25609606643828764,23.440561765306082,1133.98,495,8,940.0
0.09141666666666666,0.9290251860448995,39.77333333333333,69.0,22.06704711914071,31.340911865234403,23.75290514252454,0.21430658206146438,23.067897973124165,1133.98,450,8,942.0
0.08308333333333333,1.2073411354316719,35.62632696390658,65.0,84.41210937499983,47.03280639648426,69.91570724940071,0.258004044013569,21.36960602450793,1133.98,471,8,948.0
0.09969444444444445,0.23981161690663502,51.986666666666665,80.0,53.15806579589838,69.5287475585937,221.6659329585114,0.2792289031693726,116.43677098348566,1133.98,525,8,952.0
0.11094444444444444,1.2337169017291028,46.289782244556115,72.0,78.48948059082014,88.94492492675764,63.62033338508538,0.34807584143927456,28.21359105573025,1133.98,597,8,954.0
0.07219444444444445,0.7710324126872924,45.00821917808219,74.0,24.270660400390767,31.464447021484546,31.478132437778875,0.2066555435066896,26.802445669752007,1133.98,365,8,960.0
0.09930555555555555,1.230841869034969,49.242290748898675,71.0,68.34474182128929,52.18359375000023,55.52682561479193,0.2939887851997767,23.885179127866046,1133.98,454,8,968.0
